,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula
64,Tivoli Hotel Aqua Park,3 ѕвезди,€ 1.316,16 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/sinai-peninsula/sharm-el-sheikh/tivoli-hotel-aqua-park--978047#departure=2023-09-16&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-16&v=1"
65,Jaz Dar El Madina,4 ѕвезди,€ 1.317,05 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/jaz-dar-el-madina--894004#departure=2023-09-05&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-05&v=1"
66,Arabia Azur Resort,4 ѕвезди,€ 1.322,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/arabia-azur-resort--611746#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1"
67,Pickalbatros Palace Port Ghalib,5 ѕвезди,€ 1.322,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-palace-port-ghalib--712997#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
68,SUNRISE Aqua Joy Resort,4 ѕвезди,€ 1.326,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-aqua-joy-resort--84471#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
69,Sunny Days Resort Spa & Aqua Park,4 ѕвезди,€ 1.333,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-spa-and-aqua-park--1775484#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
70,Labranda Club Paradisio El Gouna,4 ѕвезди,€ 1.345,01 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/labranda-club-paradisio-el-gouna--6094#departure=2023-08-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-01&v=1"
71,Sunny Days Resort Spa & Aquapark,4 ѕвезди,€ 1.345,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-spa-and-aquapark--10433#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
72,Labranda Royal Makadi,5 ѕвезди,€ 1.359,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-royal-makadi--302637#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
73,The Three Corners Ocean View,4 ѕвезди,€ 1.359,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/the-three-corners-ocean-view--782773#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1"
74,Movenpick Resort Soma Bay,5 ѕвезди,€ 1.359,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/movenpick-resort-soma-bay--971333#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
75,SUNRISE Holidays Resort - Adults Only,5 ѕвезди,€ 1.361,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-holidays-resort-adults-only--77895#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
