,Unnamed: 0,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula,title_on_trip_advisor,number_bubbles,number_reviews,link
22,22,Flamenco Beach & Resort Quseir,3 ѕвезди,€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-qoseir/flamenco-beach-and-resort-quseir--488166#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Flamenco Beach & Resort,4 of 5 bubbles,955 reviews,https://www.tripadvisor.com/Hotel_Review-g488096-d504771-Reviews-Flamenco_Beach_Resort-El_Quseir_Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
23,23,The Three Corners Sunny Beach Resort,4 ѕвезди,€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/the-three-corners-sunny-beach-resort--742928#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",The Three Corners Sunny Beach Resort,4.5 of 5 bubbles,"5,264 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d1228530-Reviews-The_Three_Corners_Sunny_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
24,24,Jasmine Palace Resort,"4,5 ѕвезди",€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/jasmine-palace-resort--792073#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Jasmine Palace Resort & Spa,4 of 5 bubbles,"5,116 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d6495343-Reviews-Jasmine_Palace_Resort_Spa-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
25,25,Sea Star Beau Rivage Hotel,4 ѕвезди,€ 1.150,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sea-star-beau-rivage-hotel--940884#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Sea Star Beau Rivage,4.5 of 5 bubbles,"2,872 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d316684-Reviews-Sea_Star_Beau_Rivage-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
26,26,Giftun Azur Resort,3 ѕвезди,€ 1.164,25 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/giftun-azur-resort--411089#departure=2023-07-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-25&v=1",Giftun Azur Resort,4 of 5 bubbles,"1,129 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d627609-Reviews-Giftun_Azur_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
27,27,AMC Royal Hotel & Spa,5 ѕвезди,€ 1.164,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/amc-royal-hotel-and-spa--432623#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",AMC Royal Hotel & Spa,4.5 of 5 bubbles,"2,013 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d4873377-Reviews-AMC_Royal_Hotel_Spa-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
28,28,Aladdin Beach Resort,3 ѕвезди,€ 1.164,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/aladdin-beach-resort--561881#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1",Aladdin Beach Resort,4 of 5 bubbles,"1,576 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d316672-Reviews-Aladdin_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
29,29,Shams Safaga Resort,4 ѕвезди,€ 1.164,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/shams-safaga-resort--790201#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Shams Safaga Resort,4 of 5 bubbles,606 reviews,https://www.tripadvisor.com/Hotel_Review-g297553-d464237-Reviews-Shams_Safaga_Resort-Safaga_Red_Sea_and_Sinai.html#REVIEWS
30,30,Three Corners Happy Life Beach Resort,4 ѕвезди,€ 1.176,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/three-corners-happy-life-beach-resort--419675#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",The Three Corners Happy Life Beach Resort,4.5 of 5 bubbles,"3,681 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d2533960-Reviews-The_Three_Corners_Happy_Life_Beach_Resort-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
31,31,The Three Corners Sea Beach Resort,4 ѕвезди,€ 1.176,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/the-three-corners-sea-beach-resort--670137#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Sea Beach Aqua Park Resort Managed By Blue Resorts,4.5 of 5 bubbles,"3,144 reviews",https://www.tripadvisor.com/Hotel_Review-g303855-d1109585-Reviews-Sea_Beach_Aqua_Park_Resort_Managed_By_Blue_Resorts-Nabq_Bay_Sharm_El_Sheikh_South_Sina.html#REVIEWS
